driver_index,finish_time,laps_completed,last_checkpoint
3,2753.6957,51,0
6,2754.649,51,0
1,2760.9609,51,0
5,2761.4632,51,0
2,2767.0361,51,0
9,2773.3732,51,0
4,2773.4147,51,0
14,2776.6233,51,0
8,2783.1052,51,0
0,2784.5784,51,0
7,2796.9579,51,0
16,2755.2599,50,0
11,2755.9067,50,0
18,2761.9012,50,0
17,2774.082,50,0
15,2783.2404,50,0
19,2796.1511,50,0
13,2754.3973,49,0
10,2764.8035,48,0
12,2762.7175,47,0
