driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,2,3,30,False,82.7243,9.0
0,2,3,31,False,83.1809,9.0
0,2,3,32,False,83.5886,9.0
0,2,3,33,False,84.1161,9.0
0,2,3,34,False,84.8024,9.0
0,2,3,35,False,85.3781,9.0
0,2,3,36,True,85.9185,9.0
0,2,3,37,False,86.5223,9.0
0,2,3,38,False,86.7485,9.0
0,2,3,39,False,87.2741,9.0
0,2,3,40,False,87.917,9.0
0,2,3,41,False,88.5601,9.0
0,2,3,42,False,89.1743,9.0
0,2,3,43,False,89.6866,9.0
0,2,3,44,False,90.2515,9.0
0,2,3,45,False,90.6018,9.0
0,2,3,46,False,90.9499,9.0
0,2,3,47,False,91.3821,9.0
0,2,3,48,False,91.7689,9.0
0,2,3,49,False,92.1396,9.0
0,2,3,50,False,92.5002,9.0
0,2,3,51,False,92.9732,9.0
0,2,3,52,False,93.4362,9.0
0,2,3,53,False,93.9109,9.0
0,2,3,54,False,94.3773,9.0
0,2,3,55,False,94.7325,9.0
0,2,3,56,False,95.0882,9.0
0,2,3,57,False,95.6405,9.0
0,2,3,58,False,95.891,9.0
0,2,3,59,False,96.1367,9.0
0,2,3,60,False,96.4004,9.0
0,2,3,61,False,96.6637,9.0
0,2,3,62,False,96.9945,9.0
0,2,3,63,False,97.3115,9.0
0,2,3,64,False,97.5391,9.0
0,2,3,65,False,97.7702,9.0
0,2,3,66,False,98.003,9.0
0,2,3,67,False,98.2492,9.0
0,2,3,68,False,98.5259,9.0
0,2,3,69,True,98.8496,9.0
0,2,3,70,False,99.3261,9.0
0,2,3,71,False,99.8775,9.0
0,2,3,72,False,100.2842,9.0
0,2,3,73,False,100.5525,9.0
0,2,3,74,False,100.8982,9.0
0,2,3,75,False,101.1675,9.0
0,2,3,76,False,101.5467,9.0
0,2,3,77,False,102.0004,9.0
0,2,3,78,False,102.4528,9.0
0,2,3,79,False,102.8191,9.0
0,2,3,80,False,103.1727,9.0
0,2,3,81,False,103.6006,9.0
0,2,3,82,False,104.0386,9.0
0,2,3,83,False,104.3622,9.0
0,2,3,84,False,104.6814,9.0
0,2,3,85,False,105.0301,9.0
0,2,3,86,False,105.453,9.0
0,2,3,87,False,106.3066,9.0
0,2,3,88,False,106.9045,9.0
0,2,3,89,False,107.5709,9.0
0,2,3,90,False,108.1131,9.0
0,2,3,91,False,108.6666,9.0
0,2,3,92,False,109.13,9.0
0,2,3,93,False,109.5621,9.0
0,2,3,94,False,109.9128,9.0
0,2,3,95,False,110.2504,9.0
0,2,3,96,False,110.6909,9.0
0,2,3,97,False,111.1239,9.0
0,2,3,98,False,111.7365,9.0
0,2,3,99,False,112.1432,9.0
0,2,3,100,False,112.6288,9.0
0,2,3,101,False,113.3686,9.0
0,2,3,102,False,114.0567,9.0
0,2,3,103,False,114.878,9.0
0,2,3,104,False,115.2539,9.0
