driver_index,lap,lap_time,c_flag,time_start,time_end,position_start,position_end
1,31,54.43039999999996,0,1621.8190000000002,1676.2494000000002,3.0,3.0
1,32,53.69119999999998,0,1676.2494000000002,1729.9406000000001,3.0,2.0
1,33,53.041299999999865,0,1729.9406000000001,1782.9819,2.0,2.0
1,34,53.48590000000013,2,1782.9819,1836.4678000000001,2.0,2.0
1,35,61.77559999999994,0,1836.4678000000001,1898.2434,2.0,5.0
1,36,56.7976000000001,0,1898.2434,1955.0410000000002,5.0,3.0
1,37,52.746799999999894,0,1955.0410000000002,2007.7878,3.0,3.0
1,38,52.730099999999766,0,2007.7878,2060.5179,3.0,3.0
1,39,52.67230000000018,3,2060.5179,2113.1902,3.0,3.0
1,40,54.67650000000003,0,2113.1902,2167.8667,3.0,3.0
1,41,53.23540000000003,0,2167.8667,2221.1021,3.0,3.0
1,42,52.77039999999988,0,2221.1021,2273.8725,3.0,3.0
1,43,53.161499999999705,2,2273.8725,2327.0339999999997,3.0,3.0
1,44,52.95950000000039,0,2327.0339999999997,2379.9935,3.0,3.0
1,45,53.12639999999965,0,2379.9935,2433.1198999999997,3.0,3.0
1,46,52.94430000000011,0,2433.1198999999997,2486.0642,3.0,3.0
1,47,53.4076,0,2486.0642,2539.4718,3.0,3.0
1,48,53.059400000000096,0,2539.4718,2592.5312,3.0,3.0
1,49,53.48120000000017,1,2592.5312,2646.0124,3.0,3.0
1,50,53.391799999999876,2,2646.0124,2699.4042,3.0,3.0
1,51,54.196699999999964,0,2699.4042,2753.6009,3.0,3.0
2,1,59.435900000000004,3,0.0,59.435900000000004,8.0,8.0
2,2,53.2745,3,59.435900000000004,112.7104,8.0,8.0
2,3,54.48879999999998,3,112.7104,167.1992,8.0,9.0
2,4,54.731300000000005,3,167.1992,221.9305,9.0,9.0
2,5,53.55099999999999,3,221.9305,275.4815,9.0,9.0
2,6,53.54000000000002,3,275.4815,329.0215,9.0,9.0
2,7,53.571699999999964,2,329.0215,382.59319999999997,9.0,9.0
2,8,53.31220000000002,2,382.59319999999997,435.9054,9.0,9.0
2,9,53.82740000000001,2,435.9054,489.7328,9.0,9.0
2,10,53.82299999999998,2,489.7328,543.5558,9.0,8.0
