driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
5,653979,1187216.0,2,1,59997.0,121458.0,96.63995295698925,93.19791666666667,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.91893481182797,0.0,10000.0,0.0,61461.0,53.3237,5,5
6,651233,1183636.0,2,1,60311.0,119911.0,96.62236783154123,93.28455421146953,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.95346102150538,0.0,10000.0,0.0,59600.0,53.2403,4,4
7,674325,1211359.0,2,1,54836.0,110706.0,96.92898745519713,93.80006720430107,0.0,0.0,0.0,0.0,10000,10000.0,False,False,95.36452732974911,0.0,10000.0,0.0,55870.0,53.7034,10,10
8,634171,1161905.0,2,1,60694.0,124021.0,96.60091845878136,93.05437948028674,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.82764896953405,0.0,10000.0,0.0,63327.0,52.7734,1,1
9,664483,1197580.0,2,2,57264.0,118848.0,97.59475806451613,95.00806451612902,0.0,0.0,0.0,0.0,10000,10000.0,False,False,96.30141129032258,0.0,10000.0,0.0,61584.0,53.3097,7,7
10,709840,1270619.0,2,1,64904.0,125201.0,96.36514336917563,92.98829525089606,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.67671931003585,0.0,10000.0,0.0,60297.0,56.0779,18,18
11,688237,1230123.0,2,2,64553.0,129917.0,97.28860047043011,94.54313676075269,0.0,0.0,0.0,0.0,10000,10000.0,False,False,95.91586861559139,0.0,10000.0,0.0,65364.0,54.1886,14,14
12,773546,1360653.0,2,1,67599.0,128304.0,96.21421370967742,92.81451612903226,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.51436491935485,0.0,10000.0,0.0,60705.0,58.7107,20,20
13,691664,1239692.0,2,1,62700.0,125884.0,96.4885752688172,92.95004480286738,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.71931003584228,0.0,10000.0,0.0,63184.0,54.8028,16,16
14,681061,1218422.0,2,1,60961.0,122329.0,96.58596550179212,93.14913754480287,0.0,0.0,0.0,0.0,10000,10000.0,False,False,94.8675515232975,0.0,10000.0,0.0,61368.0,53.7361,12,12
15,687361,1225414.0,2,2,55042.0,114170.0,97.68808803763442,95.20455309139786,0.0,0.0,0.0,0.0,10000,10000.0,False,False,96.44632056451613,0.0,10000.0,0.0,59128.0,53.8053,13,13
16,689171,1234720.0,2,1,55374.0,116659.0,96.89885752688173,93.46667786738351,0.0,0.0,0.0,0.0,10000,10000.0,False,False,95.18276769713262,0.0,10000.0,0.0,61285.0,54.5549,15,15
17,698223,1244985.0,2,2,75027.0,138720.0,96.84866431451613,94.17338709677419,0.0,0.0,0.0,0.0,10000,10000.0,False,False,95.51102570564515,0.0,10000.0,0.0,63693.0,54.6762,17,17
18,677753,1215241.0,2,1,59682.0,118712.0,96.6575940860215,93.35170250896057,0.0,0.0,0.0,0.0,10000,10000.0,False,False,95.00464829749103,0.0,10000.0,0.0,59030.0,53.7488,11,11
